PartNum,TotalSpend,CumSpend,CumSpend_Pct,ABC,XYZ,ABCXYZ
8000034,105661.75,68515706.617632,56.86134021290308,A,X,AX
PD10770,105644.01000000001,68621350.627632,56.949014416244346,A,Y,AY
6602338,105517.79999999999,68726868.427632,57.03658387762057,A,X,AX
6705010,105486.42,68832354.847632,57.124127296663666,A,Y,AY
6303767,105380.19209,68937735.03972201,57.21158255692349,A,X,AX
3361100,104452.5,69042187.53972201,57.2982679234152,A,X,AX
Q741110041-9,103927.39,69146114.92972201,57.38451749992775,A,Y,AY
TRK9239,103480.0,69249594.92972201,57.4703957864653,A,Z,AZ
TRK9242,103480.0,69353074.92972201,57.55627407300285,A,Z,AZ
TRK9241,103480.0,69456554.92972201,57.64215235954039,A,Z,AZ
TRK9240,103480.0,69560034.92972201,57.72803064607793,A,Z,AZ
TRK9238,103480.0,69663514.92972201,57.813908932615476,A,Z,AZ
TRK9311,103480.0,69766994.92972201,57.89978721915302,A,Z,AZ
TRK9312,103480.0,69870474.92972201,57.98566550569056,A,Z,AZ
6604765,103125.534,69973600.463722,58.0712496200913,A,Y,AY
3342672,102752.67,70076353.133722,58.15652429381335,A,Y,AY
NPS7307,102381.76,70178734.89372201,58.241491148485736,A,X,AX
6452744,102016.66,70280751.55372201,58.326155005840604,A,Y,AY
6001623,101882.87999999999,70382634.433722,58.41070783887028,A,X,AX
3371222,101863.7,70484498.133722,58.495244754374475,A,X,AX
T259212,101697.8,70586195.933722,58.57964398909266,A,X,AX
6001423,100629.05,70686824.983722,58.66315626576352,A,Y,AY
3343514,100179.62,70787004.603722,58.74629555945875,A,Y,AY
631906402,99346.83903999999,70886351.442762,58.82874372634777,A,X,AX
6435479,99320.0,70985671.442762,58.91116961945667,A,Y,AY
6320591,99266.0,71084937.442762,58.993550697843176,A,Y,AY
7050881,98190.8,71183128.242762,59.07503946531274,A,X,AX
6703851,98074.2,71281202.442762,59.15643146617803,A,X,AX
Q591368-20,97920.0,71379122.442762,59.23769549611383,A,X,AX
264575,97903.0,71477025.442762,59.31894541771109,A,Z,AZ
6605040,96940.46,71573965.902762,59.39939652518075,A,X,AX
6454044-01,96624.0,71670589.902762,59.47958500177917,A,Z,AZ
6310368-3,95838.26136,71766428.164122,59.55912139209937,A,Y,AY
6604557,95567.01,71861995.174122,59.638432670301114,A,Y,AY
6601177,94866.928,71956862.10212201,59.71716294886432,A,Y,AY
6705029,94599.9,72051462.00212201,59.795671620285106,A,X,AX
6703970,93868.38,72145330.38212201,59.873573201599896,A,X,AX
6310092-12,93866.68,72239197.06212202,59.95147337208084,A,Y,AY
ED-E 12425-1,93770.0,72332967.06212202,60.029293307610665,A,Z,AZ
6454006,93240.0,72426207.06212202,60.106673394939236,A,X,AX
6300212,92507.92,72518714.98212202,60.18344592741654,A,X,AX
Q461432-12,92500.89,72611215.87212202,60.26021262568092,A,Y,AY
6309310,91104.50226000001,72702320.37438202,60.33582045859496,A,X,AX
6705148,89602.5,72791922.87438202,60.41018177642913,A,X,AX
3161250,88381.92,72880304.79438202,60.48353013215486,A,Y,AY
6704003,88187.59999999999,72968492.39438201,60.55671722127215,A,Y,AY
6452880,87309.9,73055802.29438202,60.62917590517015,A,X,AX
3371025,86758.5,73142560.79438202,60.701176980958394,A,X,AX
6603243,86541.42,73229102.21438202,60.77299790156262,A,Y,AY
6435459,86367.24,73315469.45438202,60.844674269790076,A,Y,AY
5251747,85500.48,73400969.93438202,60.91563131192902,A,Y,AY
6320333,85406.4,73486376.33438203,60.986510276862724,A,X,AX
6605039,85026.06,73571402.39438203,61.0570735967684,A,Y,AY
Chipper Roof Retrofit,85000.0,73656402.39438203,61.127615289421,A,Z,AZ
6604341,84788.14,73741190.53438203,61.19798115897942,A,X,AX
2780218,83984.92,73825175.45438203,61.26768043443934,A,X,AX
6605258,83883.8,73909059.25438203,61.33729579018207,A,X,AX
3331082,83850.0,73992909.25438203,61.406883095228196,A,X,AX
6319078-1A,83722.0,74076631.25438203,61.4763641727842,A,X,AX
6603665,83542.35,74160173.60438202,61.54569615839803,A,Z,AZ
QUOTE # 2024-S6965 R1,82832.0,74243005.60438202,61.61443862293686,A,Z,AZ
5017208,82771.6,74325777.20438202,61.68313096137879,A,Z,AZ
6604561,82587.94,74408365.14438201,61.75167087997045,A,Y,AY
6319100-1,82448.5,74490813.64438201,61.820095076990064,A,Y,AY
5012464,82334.36,74573148.00438201,61.88842454896499,A,X,AX
6603471,82217.3,74655365.30438201,61.956656872580595,A,Y,AY
6310098-2,81831.10875,74737196.41313201,62.02456869520253,A,Y,AY
6319062-2,81675.31,74818871.72313201,62.092351220088716,A,X,AX
6435485,81298.0,74900169.72313201,62.15982061455073,A,X,AX
6319112,80583.626,74980753.34913202,62.22669714841101,A,Y,AY
2708330,80433.23,75061186.57913202,62.293448868290035,A,Y,AY
6500537,80000.0,75141186.57913202,62.35984104961013,A,Y,AY
5012428,79201.76000000001,75220388.33913203,62.42557076974502,A,X,AX
6603505,79166.0,75299554.33913203,62.491270812574854,A,Y,AY
6310181-2,78831.20999999999,75378385.54913202,62.556693012424866,A,X,AX
6704292,78794.0,75457179.54913202,62.622084331611575,A,X,AX
NPS4948,78692.0,75535871.54913202,62.68739100076708,A,X,AX
6705294,78650.64,75614522.18913202,62.75266334516485,A,X,AX
6445090,78330.0,75692852.18913202,62.81766958969989,A,Y,AY
5003082,78283.0,75771135.18913202,62.882636828828396,A,X,AX
Proposal #: P17965,77300.0,75848435.18913202,62.94678827402894,A,Z,AZ
6002509,76621.89,75925057.07913202,63.01037695420355,A,X,AX
10007508,76544.0,76001601.07913202,63.07390099329061,A,X,AX
6319061-2,75593.43000000001,76077194.50913203,63.136636152180216,A,X,AX
6602011,75553.5,76152748.00913203,63.19933817307232,A,Y,AY
3371087,75543.38,76228291.38913202,63.262031795353465,A,X,AX
6319178-1,75485.37,76303776.75913203,63.32467727500416,A,Y,AY
