PartNum,annual_demand,avg_unit_cost,holding_cost_per_unit,eoq,orders_per_year,avg_cycle_stock,total_annual_cost,ordering_cost_assumption,holding_cost_rate
.393 X 51.25 X 5.5 Right wound,365.0,514.5,128.625,16.85,21.66,8.43,2167.31,50,0.25
.406 WIRE X 56.5 X 5.5 LEFT,365.0,507.0,126.75,16.97,21.51,8.48,2150.34,50,0.25
".406 WIRE X 56.5 X 5.5, RIGHT",17.11,507.0,126.75,3.67,4.66,1.84,466.22,50,0.25
.406 X 54 X 5.5 ID X LEFT WOUND,730.0,452.0,113.0,25.42,28.72,12.71,2872.23,50,0.25
.406 X 55.25 X 5.5 Left Wound,365.0,514.5,128.625,16.85,21.66,8.43,2167.31,50,0.25
.AR-LMV50,365.0,3344.0,836.0,6.61,55.22,3.3,5519.8,50,0.25
.EC0705,365.0,50.0,12.5,54.04,6.75,27.02,675.25,50,0.25
.EC0711,365.0,69.02,17.255,45.99,7.94,23.0,793.86,50,0.25
.SP-250A,365.0,997.5,249.375,12.1,30.17,6.05,3017.22,50,0.25
.XAXISINSTALL,365.0,245.0,61.25,24.41,14.95,12.2,1494.75,50,0.25
000-068,7300.0,0.87,0.2175,1832.03,3.98,916.02,398.23,50,0.25
00028,365.0,843.54,210.885,13.16,27.74,6.58,2774.62,50,0.25
00087750,730.0,30.91,7.7275,97.19,7.51,48.6,751.06,50,0.25
00088944,93.59,73.9,18.475,22.51,4.16,11.26,416.03,50,0.25
0015184,730.0,3.49,0.8725,289.25,2.52,144.62,252.18,50,0.25
003101,365.0,80.73,20.1825,42.53,8.58,21.26,858.08,50,0.25
003149,365.0,152.0,38.0,30.99,11.78,15.5,1178.0,50,0.25
003233,365.0,1010.0,252.5,12.02,30.37,6.01,3036.02,50,0.25
003249,365.0,454.0,113.5,17.93,20.36,8.96,2034.96,50,0.25
00370521,730.0,82.03,20.5075,59.66,12.24,29.83,1223.74,50,0.25
00446310,91.25,90.39,22.5975,20.09,4.54,10.04,453.88,50,0.25
00515779,730.0,22.32,5.58,114.38,6.38,57.19,638.12,50,0.25
005263,730.0,272.0,68.0,32.76,22.28,16.38,2227.84,50,0.25
0060592,365.0,3.49,0.8725,204.53,1.78,102.26,178.22,50,0.25
006109,730.0,124.0,31.0,48.53,15.04,24.26,1504.06,50,0.25
00655255,365.0,149.68,37.42,31.23,11.69,15.62,1169.0,50,0.25
